Reference(s),Value,MFG Name,MFG Part Num,Description,Qty
"C1, C2, C8, C9, C15, C16",10u,Taiyo Yuden,TMK212BBJ106KG-T,CAP CER 10UF 25V X5R 0805,6
"C3, C4, C10, C11, C17, C18, C23, C24",100n,Samsung Electro-Mechanics,CL10B104KB8NNNC,CAP CER 0.1UF 50V X7R 0603,8
"C5, C6, C7, C12, C13, C14, C19, C20, C21, C22, C25",22u,Samsung Electro-Mechanics,CL21A226MQQNNNE,CAP CER 22UF 6.3V X5R 0805,11
J1,,GCT,USB4085-GF-A,CONN RCPT USB2.0 TYPEC 16POS,1
"L1, L2, L3",2u2,"	Murata Electronics",1264EY-2R2N=P3,FIXED IND 2.2UH 7.8A 19.2 MOHM,3
R1,3K16,Stackpole Electronics Inc,RMCF0603FT3K16,RES 3.16K OHM 1% 1/10W 0603,1
"R2, R4, R6, R7, R8",10K,Stackpole Electronics Inc,RMCF0603FT10K0,RES 10K OHM 1% 1/10W 0603,5
"R3, R9, R10",5K11,Stackpole Electronics Inc,RMCF0603FT5K11,RES 5.11K OHM 1% 1/10W 0603,3
R5,33K2,Stackpole Electronics Inc,RMCF0603FT33K2,RES 33.2K OHM 1% 1/10W 0603,1
"U1, U2, U3",TPS564201,Texas Instruments,TPS564201DDCR,IC REG BUCK ADJ 4A TSOT23-6,3
U4,AP2171,Diodes Incorporated,AP2171WG-7,"	IC PWR SWITCH P-CHAN 1:1 SOT25",1
